CURSE_WORDS,Category
69,Sexual Anatomy/Sexual Acts
@55,Sexual Anatomy/Sexual Acts
@ssfcker,Sexual Anatomy/Sexual Acts
@ssfucker,Sexual Anatomy/Sexual Acts
@ssfvcker,Sexual Anatomy/Sexual Acts
@sshole,Sexual Anatomy/Sexual Acts
0ral seks,Sexual Anatomy/Sexual Acts
0ral sex,Sexual Anatomy/Sexual Acts
0rg@sm,Sexual Anatomy/Sexual Acts
0rgasms,Sexual Anatomy/Sexual Acts
3jakulating,Sexual Anatomy/Sexual Acts
4r5e,Sexual Anatomy/Sexual Acts
4r5ed,Sexual Anatomy/Sexual Acts
4r5es,Sexual Anatomy/Sexual Acts
4skin,Sexual Anatomy/Sexual Acts
a_s_s,Sexual Anatomy/Sexual Acts
anal,Sexual Anatomy/Sexual Acts
anal hole,Sexual Anatomy/Sexual Acts
anal hore,Sexual Anatomy/Sexual Acts
anal pirate,Sexual Anatomy/Sexual Acts
analingus,Sexual Anatomy/Sexual Acts
analplug,Sexual Anatomy/Sexual Acts
analplugs,Sexual Anatomy/Sexual Acts
anilingus,Sexual Anatomy/Sexual Acts
animal fucker,Sexual Anatomy/Sexual Acts
anus,Sexual Anatomy/Sexual Acts
anus plug,Sexual Anatomy/Sexual Acts
arse-bandit,Sexual Anatomy/Sexual Acts
arse-bandits,Sexual Anatomy/Sexual Acts
ar5e,Sexual Anatomy/Sexual Acts
ar5ehole,Sexual Anatomy/Sexual Acts
arse,Sexual Anatomy/Sexual Acts
arse gobbler,Sexual Anatomy/Sexual Acts
arse hole,Sexual Anatomy/Sexual Acts
arse-fucker,Sexual Anatomy/Sexual Acts
arse-fuckers,Sexual Anatomy/Sexual Acts
arse-hole,Sexual Anatomy/Sexual Acts
arse-shagger,Sexual Anatomy/Sexual Acts
arsefuck,Sexual Anatomy/Sexual Acts
arsefucker,Sexual Anatomy/Sexual Acts
arsehole,Sexual Anatomy/Sexual Acts
arseshit,Sexual Anatomy/Sexual Acts
arsewipe,Sexual Anatomy/Sexual Acts
ashole,Sexual Anatomy/Sexual Acts
ass,Sexual Anatomy/Sexual Acts
ass bandit,Sexual Anatomy/Sexual Acts
ass eating boiolas,Sexual Anatomy/Sexual Acts
ass eating nob jokeys,Sexual Anatomy/Sexual Acts
ass fecker,Sexual Anatomy/Sexual Acts
ass fuck,Sexual Anatomy/Sexual Acts
ass fucker,Sexual Anatomy/Sexual Acts
ass fucking boiolas,Sexual Anatomy/Sexual Acts
ass fucking nob jokeys,Sexual Anatomy/Sexual Acts
ass hole,Sexual Anatomy/Sexual Acts
ass kisser,Sexual Anatomy/Sexual Acts
ass licking,Sexual Anatomy/Sexual Acts
ass muncher,Sexual Anatomy/Sexual Acts
ass-bandit,Sexual Anatomy/Sexual Acts
ass-fucker,Sexual Anatomy/Sexual Acts
ass-fuckers,Sexual Anatomy/Sexual Acts
ass-hole,Sexual Anatomy/Sexual Acts
asses,Sexual Anatomy/Sexual Acts
assface,Sexual Anatomy/Sexual Acts
assfck,Sexual Anatomy/Sexual Acts
assfcker,Sexual Anatomy/Sexual Acts
assfk,Sexual Anatomy/Sexual Acts
assfkcer,Sexual Anatomy/Sexual Acts
assfker,Sexual Anatomy/Sexual Acts
assfkr,Sexual Anatomy/Sexual Acts
assfook,Sexual Anatomy/Sexual Acts
assfuccer,Sexual Anatomy/Sexual Acts
assfuck,Sexual Anatomy/Sexual Acts
assfuck3r,Sexual Anatomy/Sexual Acts
assfucker,Sexual Anatomy/Sexual Acts
assfuckers,Sexual Anatomy/Sexual Acts
